step,wall_time_s,metric,value
0,46.667,eval/walltime,27.570919036865234
0,46.667,eval/episode_reward,527.668701171875
0,46.667,eval/episode_reward/ctrl,-0.2769871950149536
0,46.667,eval/episode_reward/forward,621.7745361328125
0,46.667,eval/episode_reward/joint,-0.1160224974155426
0,46.667,eval/episode_reward/orient,-93.71280670166016
0,46.667,eval/episode_reward/total,527.668701171875
0,46.667,eval/episode_state/forward_vel,-3.0741138458251953
0,46.667,eval/episode_state/up_z,798.5005493164062
0,46.667,eval/episode_reward_std,210.46958923339844
0,46.667,eval/episode_reward/ctrl_std,0.004315939731895924
0,46.667,eval/episode_reward/forward_std,19.037832260131836
0,46.667,eval/episode_reward/joint_std,0.0058922478929162025
0,46.667,eval/episode_reward/orient_std,207.12550354003906
0,46.667,eval/episode_reward/total_std,210.46958923339844
0,46.667,eval/episode_state/forward_vel_std,14.793885231018066
0,46.667,eval/episode_state/up_z_std,172.3126220703125
0,46.667,eval/avg_episode_length,1000.0
0,46.667,eval/std_episode_length,0.0
0,46.667,eval/epoch_eval_time,27.570919036865234
0,46.667,eval/sps,4642.572843830503
4194304,322.203,episode/sps,13404.85090368329
4194304,322.203,episode/length,1000.0
4194304,322.203,episode/reward/ctrl,-0.27735781133174897
4194304,322.203,episode/reward/forward,620.8993194580078
4194304,322.203,episode/reward/joint,-0.11594584383070469
4194304,322.203,episode/reward/orient,-112.87279608249665
4194304,322.203,episode/reward/total,507.63315155029295
4194304,322.203,episode/state/forward_vel,-4.3222686183452605
4194304,322.203,episode/state/up_z,783.6148157119751
4194304,322.203,episode/sum_reward,507.63315155029295
4194304,322.203,episode/entropy_loss,-0.11291276045143604
4194304,322.203,episode/kl_mean,4.323296332359314
4194304,322.203,episode/learning_rate,0.0003000000142492354
4194304,322.203,episode/policy_dist_max_loc,2.484996404647827
4194304,322.203,episode/policy_dist_max_std,3.377224631309509
4194304,322.203,episode/policy_dist_mean_loc,-0.044636749122291805
4194304,322.203,episode/policy_dist_mean_std,0.7280259776115418
4194304,322.203,episode/policy_dist_min_loc,-3.4352875661849978
4194304,322.203,episode/policy_dist_min_std,0.040034534931182864
4194304,322.203,episode/policy_loss,0.2715559214353561
4194304,322.203,episode/total_loss,8.775520536899567
4194304,322.203,episode/v_loss,8.616877419948578
4194304,349.678,eval/walltime,54.85516309738159
4194304,349.678,training/sps,15227.998154433231
4194304,349.678,training/walltime,275.43370819091797
4194304,349.678,training/entropy_loss,-0.11311173439025879
4194304,349.678,training/kl_mean,4.40799617767334
4194304,349.678,training/learning_rate,0.0003000000142492354
4194304,349.678,training/policy_dist_max_loc,2.471916675567627
4194304,349.678,training/policy_dist_max_std,3.217453718185425
4194304,349.678,training/policy_dist_mean_loc,-0.04055410251021385
4194304,349.678,training/policy_dist_mean_std,0.7243242859840393
4194304,349.678,training/policy_dist_min_loc,-3.4049553871154785
4194304,349.678,training/policy_dist_min_std,0.04130612686276436
4194304,349.678,training/policy_loss,0.2744362950325012
4194304,349.678,training/total_loss,10.828251838684082
